Iteration	Replicate_ID	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
311	0	-13.10249	-10.91381	-2.188677	0	0.916907	0.635924
312	0	-13.11089	-10.90319	-2.207696	0	0.916907	0.650104
313	0	-15.30398	-11.76733	-3.536651	0	1.90775	0.650104
314	0	-14.99059	-10.78622	-4.204372	0	1.3654	1.69029
315	0	-12.72731	-11.12534	-1.601974	0	0.615685	0.499713
316	0	-13.19627	-11.64449	-1.551785	0	0.839227	0.238751
317	0	-14.73973	-11.97492	-2.764808	0	0.412461	1.56992
318	0	-14.68197	-11.88636	-2.795615	0	0.435429	1.56992
319	0	-14.37746	-11.2899	-3.087561	0	0.653098	1.56992
320	0	-12.73939	-11.16738	-1.572011	0	0.653098	0.43996
321	0	-13.0253	-11.13731	-1.887992	0	0.888687	0.43996
322	0	-12.91219	-11.76573	-1.146459	0	0.323014	0.452762
323	0	-13.11196	-11.23345	-1.878512	0	0.484231	0.837348
324	0	-13.21022	-10.82604	-2.384185	0	0.890478	0.808119
325	0	-14.92152	-11.09964	-3.821887	0	0.890478	1.88004
326	0	-13.04706	-11.07335	-1.973711	0	0.907803	0.484754
327	0	-12.76182	-11.44241	-1.319404	0	0.419966	0.484754
328	0	-13.8287	-10.86652	-2.962179	0	0.86016	1.26938
329	0	-13.78152	-10.99923	-2.78229	0	0.726039	1.26938
330	0	-13.21803	-10.89613	-2.321898	0	0.726039	0.926119
331	0	-12.69574	-11.36104	-1.334706	0	0.488957	0.427172
332	0	-12.69642	-11.25117	-1.445247	0	0.571374	0.427172
333	0	-13.00396	-11.80034	-1.203616	0	0.616947	0.201444
334	0	-13.47474	-11.07508	-2.399662	0	0.616947	1.09319
335	0	-13.45103	-11.06932	-2.381702	0	0.616947	1.0798
336	0	-13.84256	-11.291	-2.551563	0	0.554658	1.26873
337	0	-12.83272	-11.64358	-1.189143	0	0.554658	0.252943
338	0	-12.83272	-11.64358	-1.189143	0	0.554658	0.252943
339	0	-12.74013	-11.14945	-1.590676	0	0.554658	0.552317
340	0	-12.80854	-11.01759	-1.790952	0	0.703979	0.552317
341	0	-12.81776	-11.41595	-1.401803	0	0.413838	0.552317
342	0	-12.74836	-11.48667	-1.261693	0	0.416381	0.445311
343	0	-13.4495	-12.79262	-0.6568732	0	0.260975	0.149777
344	0	-13.59835	-11.36381	-2.234538	0	0.481045	1.10598
345	0	-12.95469	-11.69009	-1.264597	0	0.32955	0.534307
346	0	-14.62266	-12.18357	-2.439085	0	0.32955	1.40998
347	0	-12.90918	-11.00604	-1.903145	0	0.618836	0.721109
348	0	-12.72454	-11.13566	-1.588884	0	0.618836	0.486803
349	0	-12.97769	-11.0617	-1.915992	0	0.86272	0.486803
350	0	-12.9581	-11.54585	-1.412251	0	0.363775	0.61017
351	0	-12.73886	-11.53983	-1.199032	0	0.50407	0.310904
352	0	-12.7132	-11.47155	-1.241644	0	0.50407	0.342674
353	0	-14.29542	-11.82133	-2.474095	0	1.42296	0.342674
354	0	-12.77578	-11.1839	-1.591882	0	0.692099	0.415774
355	0	-12.96494	-11.16947	-1.795463	0	0.843885	0.415774
356	0	-12.95121	-11.08531	-1.865898	0	0.843885	0.468289
357	0	-12.82308	-11.65856	-1.164518	0	0.360261	0.428979
358	0	-13.42171	-11.26621	-2.155505	0	1.09912	0.428979
359	0	-13.47981	-11.00897	-2.470841	0	0.66345	1.09976
360	0	-13.57046	-11.58171	-1.988751	0	0.390051	1.01372
361	0	-13.02534	-11.45763	-1.567714	0	0.390051	0.699804
362	0	-14.91504	-10.86624	-4.048793	0	1.12844	1.81126
363	0	-14.93621	-10.85352	-4.082693	0	1.15371	1.81126
364	0	-15.99697	-10.92328	-5.07369	0	1.89258	1.81126
365	0	-16.40638	-10.90882	-5.497552	0	1.40219	2.61766
366	0	-15.83544	-10.85168	-4.98376	0	1.3861	2.25068
367	0	-14.7871	-10.78428	-4.002822	0	1.3861	1.51931
368	0	-14.00185	-11.16381	-2.838031	0	1.3861	0.650871
369	0	-12.86497	-11.25862	-1.606344	0	0.467785	0.650871
370	0	-13.02208	-11.56376	-1.458318	0	0.35742	0.650871
371	0	-13.98728	-11.82814	-2.159142	0	0.35742	1.17339
372	0	-13.25552	-12.20147	-1.054056	0	0.571884	0.134998
373	0	-13.92708	-13.37882	-0.5482608	0	0.24186	0.0879126
374	0	-12.83815	-11.67121	-1.166942	0	0.543153	0.247895
375	0	-12.78003	-11.1503	-1.629734	0	0.535848	0.600247
376	0	-12.78014	-11.15123	-1.628908	0	0.535233	0.600247
377	0	-13.34102	-12.1065	-1.234513	0	0.241181	0.600247
378	0	-13.47975	-12.28029	-1.199461	0	0.215047	0.600247
379	0	-13.37404	-12.29617	-1.077866	0	0.215047	0.509588
380	0	-13.17364	-12.40689	-0.7667518	0	0.285958	0.206717
381	0	-12.92762	-11.87529	-1.052333	0	0.498882	0.206717
382	0	-13.30804	-11.63475	-1.673291	0	0.347724	0.820846
383	0	-13.07957	-11.21308	-1.866488	0	0.491768	0.820846
384	0	-13.07957	-11.21308	-1.866488	0	0.491768	0.820846
385	0	-13.14913	-10.84201	-2.307117	0	0.820291	0.820846
386	0	-13.18312	-12.25844	-0.924681	0	0.468845	0.141578
387	0	-13.37103	-12.32374	-1.047292	0	0.583588	0.118251
388	0	-13.71882	-12.34183	-1.376987	0	0.829401	0.118251
389	0	-16.0301	-13.50144	-2.528662	0	1.68807	0.118251
390	0	-12.90698	-11.19256	-1.714417	0	0.79875	0.400483
391	0	-12.8926	-11.12291	-1.769691	0	0.79875	0.441694
392	0	-14.52719	-10.96956	-3.557631	0	0.914118	1.65937
393	0	-15.05556	-10.79055	-4.265009	0	1.44152	1.65937
394	0	-15.05556	-10.79055	-4.265009	0	1.44152	1.65937
395	0	-16.5647	-11.21924	-5.345459	0	2.24708	1.65937
396	0	-16.5647	-11.21924	-5.345459	0	2.24708	1.65937
397	0	-16.93561	-11.04385	-5.89176	0	2.24708	2.06668
398	0	-14.97787	-11.92145	-3.056422	0	1.73876	0.461045
399	0	-16.28798	-10.8192	-5.468777	0	1.5887	2.4097
400	0	-15.01462	-11.42416	-3.590451	0	0.699645	1.89832
401	0	-12.85832	-10.96608	-1.892238	0	0.699645	0.632168
402	0	-13.28673	-12.03532	-1.251406	0	0.699645	0.154377
403	0	-15.42248	-11.22399	-4.198494	0	1.90917	1.14213
404	0	-15.36115	-11.95037	-3.410777	0	1.90917	0.554827
405	0	-12.88462	-11.31408	-1.570541	0	0.750072	0.34189
406	0	-13.31541	-11.55564	-1.759766	0	0.373436	0.859608
