"Species","Pigment","label"
"C_indecora","Chl.b","paste(italic(""P""),"" = 0.027"")"
"C_australis","Chl.a","paste(italic(""P""),"" = 0.501"")"
"C_polygonorum","Chl.a","paste(italic(""P""),"" = 0.149"")"
"C_sandwichiana","Chl.a","paste(italic(""P""),"" = 0.095"")"
"C_californica","Chl.a","paste(italic(""P""),"" = 0.189"")"
"C_compacta","Chl.a","paste(italic(""P""),"" = 0.06"")"
"C_cephalanthii","Chl.a","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","Chl.a","paste(italic(""P""),"" = 0.185"")"
"C_tasmanica","Chl.a","paste(italic(""P""),"" = 0.002"")"
"C_costaricensis","Chl.a","paste(italic(""P""),"" = 0.005"")"
"C_indecora","Chl.a","paste(italic(""P""),"" = 0.027"")"
"C_australis","Car.Chl31","paste(italic(""P""),"" = 0.129"")"
"C_polygonorum","Car.Chl31","paste(italic(""P""),"" = 0.135"")"
"C_sandwichiana","Car.Chl31","paste(italic(""P""),"" = 0.122"")"
"C_californica","Car.Chl31","paste(italic(""P""),"" = 0.079"")"
"C_compacta","Car.Chl31","paste(italic(""P""),"" = 0.051"")"
"C_cephalanthii","Car.Chl31","paste(italic(""P""),"" = 0.000745"")"
"C_denticulata","Car.Chl31","paste(italic(""P""),"" = 0.784"")"
"C_tasmanica","Car.Chl31","paste(italic(""P""),"" = 0.000605"")"
"C_costaricensis","Car.Chl31","paste(italic(""P""),"" = 0.016"")"
"C_indecora","Car.Chl31","paste(italic(""P""),"" = 0.047"")"
"C_australis","Tot.Chl","paste(italic(""P""),"" = 0.712"")"
"C_polygonorum","Tot.Chl","paste(italic(""P""),"" = 0.185"")"
"C_sandwichiana","Tot.Chl","paste(italic(""P""),"" = 0.077"")"
"C_californica","Tot.Chl","paste(italic(""P""),"" = 0.032"")"
"C_compacta","Tot.Chl","paste(italic(""P""),"" = 0.033"")"
"C_cephalanthii","Tot.Chl","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","Tot.Chl","paste(italic(""P""),"" = 0.089"")"
"C_tasmanica","Tot.Chl","paste(italic(""P""),"" = 0.002"")"
"C_costaricensis","Tot.Chl","paste(italic(""P""),"" = 0.005"")"
"C_indecora","Tot.Chl","paste(italic(""P""),"" = 0.027"")"
"C_australis","Chl.a.b","paste(italic(""P""),"" = 0.746"")"
"C_polygonorum","Chl.a.b","paste(italic(""P""),"" = 0.309"")"
"C_sandwichiana","Chl.a.b","paste(italic(""P""),"" = 0.164"")"
"C_californica","Chl.a.b","paste(italic(""P""),"" = 0.437"")"
"C_compacta","Chl.a.b","paste(italic(""P""),"" = 0.323"")"
"C_cephalanthii","Chl.a.b","paste(italic(""P""),"" = 0.000592"")"
"C_denticulata","Chl.a.b","paste(italic(""P""),"" = 0.149"")"
"C_tasmanica","Chl.a.b","paste(italic(""P""),"" = 0.001"")"
"C_costaricensis","Chl.a.b","paste(italic(""P""),"" = 0.005"")"
"C_indecora","Chl.a.b","paste(italic(""P""),"" = 0.024"")"
"C_australis","Tot.Car","paste(italic(""P""),"" = 0.122"")"
"C_polygonorum","Tot.Car","paste(italic(""P""),"" = 0.046"")"
"C_sandwichiana","Tot.Car","paste(italic(""P""),"" = 0.017"")"
"C_californica","Tot.Car","paste(italic(""P""),"" = 0.018"")"
"C_compacta","Tot.Car","paste(italic(""P""),"" = 0.015"")"
"C_cephalanthii","Tot.Car","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","Tot.Car","paste(italic(""P""),"" = 0.015"")"
"C_tasmanica","Tot.Car","paste(italic(""P""),"" = 0.005"")"
"C_costaricensis","Tot.Car","paste(italic(""P""),"" = 0.018"")"
"C_indecora","Tot.Car","paste(italic(""P""),"" = 0.394"")"
"C_australis","VAZ","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","VAZ","paste(italic(""P""),"" = 0.049"")"
"C_sandwichiana","VAZ","paste(italic(""P""),"" = 0.015"")"
"C_californica","VAZ","paste(italic(""P""),"" = 0.000605"")"
"C_compacta","VAZ","paste(italic(""P""),"" = 0.01"")"
"C_cephalanthii","VAZ","paste(italic(""P""),"" = 0.000592"")"
"C_denticulata","VAZ","paste(italic(""P""),"" = 0.007"")"
"C_tasmanica","VAZ","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","VAZ","paste(italic(""P""),"" = 0.004"")"
"C_indecora","VAZ","paste(italic(""P""),"" = 0.051"")"
"C_australis","VAZ.Chl","paste(italic(""P""),"" = 0.176"")"
"C_polygonorum","VAZ.Chl","paste(italic(""P""),"" = 0.089"")"
"C_sandwichiana","VAZ.Chl","paste(italic(""P""),"" = 0.024"")"
"C_californica","VAZ.Chl","paste(italic(""P""),"" = 0.083"")"
"C_compacta","VAZ.Chl","paste(italic(""P""),"" = 0.025"")"
"C_cephalanthii","VAZ.Chl","paste(italic(""P""),"" = 0.002"")"
"C_denticulata","VAZ.Chl","paste(italic(""P""),"" = 0.287"")"
"C_tasmanica","VAZ.Chl","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","VAZ.Chl","paste(italic(""P""),"" = 0.003"")"
"C_indecora","VAZ.Chl","paste(italic(""P""),"" = 0.126"")"
"C_australis","VAZ.Car","paste(italic(""P""),"" = 0.164"")"
"C_polygonorum","VAZ.Car","paste(italic(""P""),"" = 0.051"")"
"C_sandwichiana","VAZ.Car","paste(italic(""P""),"" = 0.018"")"
"C_californica","VAZ.Car","paste(italic(""P""),"" = 0.002"")"
"C_compacta","VAZ.Car","paste(italic(""P""),"" = 0.014"")"
"C_cephalanthii","VAZ.Car","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","VAZ.Car","paste(italic(""P""),"" = 0.016"")"
"C_tasmanica","VAZ.Car","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","VAZ.Car","paste(italic(""P""),"" = 0.003"")"
"C_indecora","VAZ.Car","paste(italic(""P""),"" = 0.046"")"
"C_australis","NVZ","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","NVZ","paste(italic(""P""),"" = 0.049"")"
"C_sandwichiana","NVZ","paste(italic(""P""),"" = 0.014"")"
"C_californica","NVZ","paste(italic(""P""),"" = 0.000605"")"
"C_compacta","NVZ","paste(italic(""P""),"" = 0.011"")"
"C_cephalanthii","NVZ","paste(italic(""P""),"" = 0.000592"")"
"C_denticulata","NVZ","paste(italic(""P""),"" = 0.006"")"
"C_tasmanica","NVZ","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","NVZ","paste(italic(""P""),"" = 0.004"")"
"C_indecora","NVZ","paste(italic(""P""),"" = 0.042"")"
"C_australis","NVZ.Car","paste(italic(""P""),"" = 0.164"")"
"C_polygonorum","NVZ.Car","paste(italic(""P""),"" = 0.043"")"
"C_sandwichiana","NVZ.Car","paste(italic(""P""),"" = 0.041"")"
"C_californica","NVZ.Car","paste(italic(""P""),"" = 0.005"")"
"C_compacta","NVZ.Car","paste(italic(""P""),"" = 0.011"")"
"C_cephalanthii","NVZ.Car","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","NVZ.Car","paste(italic(""P""),"" = 0.031"")"
"C_tasmanica","NVZ.Car","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","NVZ.Car","paste(italic(""P""),"" = 0.004"")"
"C_indecora","NVZ.Car","paste(italic(""P""),"" = 0.044"")"
"C_australis","Lut.Chl","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Lut.Chl","paste(italic(""P""),"" = 0.067"")"
"C_sandwichiana","Lut.Chl","paste(italic(""P""),"" = 0.098"")"
"C_californica","Lut.Chl","paste(italic(""P""),"" = 0.741"")"
"C_compacta","Lut.Chl","paste(italic(""P""),"" = 0.013"")"
"C_cephalanthii","Lut.Chl","paste(italic(""P""),"" = 0.000754"")"
"C_denticulata","Lut.Chl","paste(italic(""P""),"" = 0.169"")"
"C_tasmanica","Lut.Chl","paste(italic(""P""),"" = 0.002"")"
"C_costaricensis","Lut.Chl","paste(italic(""P""),"" = 0.012"")"
"C_indecora","Lut.Chl","paste(italic(""P""),"" = 0.027"")"
"C_australis","Lut.Car","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Lut.Car","paste(italic(""P""),"" = 0.018"")"
"C_sandwichiana","Lut.Car","paste(italic(""P""),"" = 0.011"")"
"C_californica","Lut.Car","paste(italic(""P""),"" = 0.007"")"
"C_compacta","Lut.Car","paste(italic(""P""),"" = 0.013"")"
"C_cephalanthii","Lut.Car","paste(italic(""P""),"" = 0.000592"")"
"C_denticulata","Lut.Car","paste(italic(""P""),"" = 0.309"")"
"C_tasmanica","Lut.Car","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","Lut.Car","paste(italic(""P""),"" = 0.004"")"
"C_indecora","Lut.Car","paste(italic(""P""),"" = 0.034"")"
"C_australis","Lut.epo.Car","paste(italic(""P""),"" = 0.106"")"
"C_polygonorum","Lut.epo.Car","paste(italic(""P""),"" = 0.093"")"
"C_sandwichiana","Lut.epo.Car","paste(italic(""P""),"" = 0.167"")"
"C_californica","Lut.epo.Car","paste(italic(""P""),"" = 0.51"")"
"C_compacta","Lut.epo.Car","paste(italic(""P""),"" = 0.585"")"
"C_cephalanthii","Lut.epo.Car","paste(italic(""P""),"" = 0.001"")"
"C_denticulata","Lut.epo.Car","paste(italic(""P""),"" = 0.051"")"
"C_tasmanica","Lut.epo.Car","paste(italic(""P""),"" = 0.000754"")"
"C_costaricensis","Lut.epo.Car","paste(italic(""P""),"" = 0.127"")"
"C_indecora","Lut.epo.Car","paste(italic(""P""),"" = 0.042"")"
"C_australis","a.Car.Car","paste(italic(""P""),"" = 0.409"")"
"C_polygonorum","a.Car.Car","paste(italic(""P""),"" = 0.309"")"
"C_sandwichiana","a.Car.Car","paste(italic(""P""),"" = 0.152"")"
"C_californica","a.Car.Car","paste(italic(""P""),"" = 0.297"")"
"C_compacta","a.Car.Car","paste(italic(""P""),"" = 0.016"")"
"C_cephalanthii","a.Car.Car","paste(italic(""P""),"" = 0.004"")"
"C_denticulata","a.Car.Car","paste(italic(""P""),"" = 0.309"")"
