Date.Extracted,Date.Run,Sample..,Subgenus,Species,Sample.Name,Accession.No,Tissue.code,Replicate,Weight..g.,FW.mg.,Dil..ul.,Inj.vol..ul.,Conversion,Pigment,FW.norm,Tissue.code_names,Subgenus.Tissue,Subgenus.Pigment,logFW.norm
6/5/18,6/11/18,AS-47,Grammica,C_cephalanthii,1567Fy,1567,y,1,0.043,43,2050,100,0.476744186,a.Tocopherol,4.2951266274879405,Young,Grammica__Young,Grammica__a.Tocopherol,1.4574810608188447
6/5/18,6/11/18,AS-48,Grammica,C_cephalanthii,1567Fy,1567,y,2,0.0423,42.3,2050,100,0.48463357,a.Tocopherol,6.0092091048793,Young,Grammica__Young,Grammica__a.Tocopherol,1.7932931600027517
7/2/18,6/3/18,AS-222,Grammica,C_cephalanthii,1567Dy,1567,y,1,0.0269,26.9,1250,100,0.464684015,a.Tocopherol,16.2068308595565,Young,Grammica__Young,Grammica__a.Tocopherol,2.7854328175331395
6/5/18,6/11/18,AS-31,Grammica,C_cephalanthii,1567Go,1567,o,1,0.0425,42.5,2050,100,0.482352941,a.Tocopherol,2.7160136460651603,Old,Grammica__Old,Grammica__a.Tocopherol,0.9991652708269264
6/5/18,6/11/18,AS-32,Grammica,C_cephalanthii,1567Go,1567,o,2,0.0598,59.8,2050,100,0.342809365,a.Tocopherol,2.8157778465179497,Old,Grammica__Old,Grammica__a.Tocopherol,1.0352385809671605
6/5/18,6/11/18,AS-37,Grammica,C_cephalanthii,1567Fo,1567,o,1,0.0417,41.7,2050,100,0.491606715,a.Tocopherol,2.77637350329825,Old,Grammica__Old,Grammica__a.Tocopherol,1.0211456169097306
6/5/18,6/11/18,AS-38,Grammica,C_cephalanthii,1567Fo,1567,o,2,0.0533,53.3,2050,100,0.384615385,a.Tocopherol,2.9868230799099,Old,Grammica__Old,Grammica__a.Tocopherol,1.094210340933378
6/5/18,6/11/18,AS-45,Grammica,C_cephalanthii,1567Do,1567,o,1,0.0475,47.5,2050,100,0.431578947,a.Tocopherol,2.20992589285032,Old,Grammica__Old,Grammica__a.Tocopherol,0.7929590275709008
6/5/18,6/11/18,AS-46,Grammica,C_cephalanthii,1567Do,1567,o,2,0.048,48,2050,100,0.427083333,a.Tocopherol,2.3745149981467204,Old,Grammica__Old,Grammica__a.Tocopherol,0.8647932474398549
6/11/18,6/11/18,AS-126,Grammica,C_cephalanthii,1567Fo,1567,o,1,0.046,46,1250,100,0.27173913,a.Tocopherol,3.0372499951404,Old,Grammica__Old,Grammica__a.Tocopherol,1.1109525320772344
6/13/18,6/13/18,AS-127,Grammica,C_cephalanthii,1567Fo,1567,o,2,0.0499,49.9,1250,100,0.250501002,a.Tocopherol,2.6834218436444397,Old,Grammica__Old,Grammica__a.Tocopherol,0.987092824693321
6/13/18,6/13/18,AS-130,Grammica,C_cephalanthii,1567Go,1567,o,1,0.0496,49.6,1250,100,0.252016129,a.Tocopherol,2.1994959674604,Old,Grammica__Old,Grammica__a.Tocopherol,0.7882282738806925
6/13/18,6/13/18,AS-131,Grammica,C_cephalanthii,1567Go,1567,o,2,0.0414,41.4,1250,100,0.301932367,a.Tocopherol,2.0983242743215498,Old,Grammica__Old,Grammica__a.Tocopherol,0.7411391092344394
6/13/18,6/13/18,AS-132,Grammica,C_cephalanthii,1567Do,1567,o,1,0.0511,51.1,1250,100,0.244618395,a.Tocopherol,1.5414016614937498,Old,Grammica__Old,Grammica__a.Tocopherol,0.43269223714931476
6/13/18,6/13/18,AS-133,Grammica,C_cephalanthii,1567Do,1567,o,2,0.0409,40.9,1250,100,0.305623472,a.Tocopherol,1.76048899823104,Old,Grammica__Old,Grammica__a.Tocopherol,0.5655916671661004
7/2/18,6/3/18,AS-214,Grammica,C_cephalanthii,1567Ao,1567,o,1,0.0422,42.2,1250,100,0.296208531,a.Tocopherol,11.08606043381274,Old,Grammica__Old,Grammica__a.Tocopherol,2.4056885113663187
7/4/18,7/4/18,AS-263,Grammica,C_cephalanthii,1567Bo,1567,o,1,0.0508,50.8,1250,100,0.246062992,a.Tocopherol,2.18014517604912,Old,Grammica__Old,Grammica__a.Tocopherol,0.7793915149701302
6/13/18,6/13/18,AS-134,Grammica,C_cephalanthii,1567Gh,1567,h,1,0.0406,40.6,1250,100,0.307881773,a.Tocopherol,4.43140701396133,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.4887171665707604
6/13/18,6/13/18,AS-135,Grammica,C_cephalanthii,1567Gh,1567,h,2,0.0512,51.2,1250,100,0.244140625,a.Tocopherol,4.9991845703125,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.609274833199905
7/2/18,6/3/18,AS-236,Grammica,C_cephalanthii,1567Dh,1567,h,1,0.0475,47.5,1250,100,0.263157895,a.Tocopherol,2.6631131605578497,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0.9794958371169491
7/2/18,6/3/18,AS-237,Grammica,C_cephalanthii,1567Fh,1567,h,1,0.0492,49.2,1250,100,0.254065041,a.Tocopherol,4.810271856212429,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.570753622272462
6/11/18,6/11/18,AS-122,Grammica,C_cephalanthii,1567Df,1567,f,1,0.0465,46.5,1250,100,0.268817204,a.Tocopherol,11.473330632311159,Flower,Grammica__Flower,Grammica__a.Tocopherol,2.440025275413732
