Subgenus,Tissue.code,Pigment,Mean,n,sd
Cuscuta,o,Zea.Car,0.07253110711158962,7,0.01960036747413638
Cuscuta,o,Vio.Car,0.20459375816200867,7,0.03418574958229779
Cuscuta,o,Neo.Car,0,7,0
Cuscuta,o,Ant.Car,0.1600195022354851,7,0.029032874532003313
Cuscuta,o,DEPS,34.85701156235428,7,3.5886157780138603
Cuscuta,h,a.Tocopherol,1.1060670236317525,4,0.7456848687889738
Cuscuta,h,Violaxanthin,4.635668079673117,4,0.9908052423039083
Cuscuta,h,Neoxanthin,0,4,0
Cuscuta,h,Lutein.epoxide,0.34798684132244,4,0.2856343791750364
Cuscuta,h,Antheraxanthin,2.7349261909681974,4,0.5429408034521296
Cuscuta,h,Lutein,3.503935149985508,4,0.8251836182958673
Cuscuta,h,Zeaxanthin,1.178738255060485,4,0.46687616656873737
Cuscuta,h,a.Carotene,0,4,0
Cuscuta,h,b.Carotene,4.742823626506885,4,2.224729699701908
Cuscuta,h,cis.B.carotene,1.3207721306314275,4,0.6436397230664997
Cuscuta,h,Chl.b,4.389190994329735,4,0.9373182951052924
Cuscuta,h,Chl.a,15.452167774495829,4,5.110439315539846
Cuscuta,h,Car.Chl31,524.8228364547564,4,136.8281249305467
Cuscuta,h,Tot.Chl,19.841358768825565,4,6.024511757429191
Cuscuta,h,Chl.a.b,3.455101196077136,4,0.5341442313260882
Cuscuta,h,Tot.Car,16.796091302194192,4,4.7052543147838275
Cuscuta,h,VAZ,8.5493325257018,4,1.6840008973010245
Cuscuta,h,VAZ.Chl,0.44417560621689134,4,0.06259209561333948
Cuscuta,h,VAZ.Car,0.5179875935455963,4,0.043582856923427594
Cuscuta,h,NVZ,5.814406334733603,4,1.154203241205513
Cuscuta,h,NVZ.Car,0.35223207033150195,4,0.03171174781722696
Cuscuta,h,Lut.Chl,0.18095293734632595,4,0.026439740745925092
Cuscuta,h,Lut.Car,0.21078221999230173,4,0.014330034013980097
Cuscuta,h,Lut.epo.Car,0.01844182222424804,4,0.013051274346018158
