Subgenus,Species,Accession.No,Tissue.code,Pigment,Mean,n,sd
Grammica,C_australis,1382,s,Chl.a,5.3223750006723,1,NA
Grammica,C_australis,1382,s,Tot.Chl,50.37793404891672,1,NA
Grammica,C_australis,1382,s,Chl.a.b,0.11812915238657293,1,NA
Grammica,C_australis,1382,s,Tot.Car,73.47278777523822,1,NA
Grammica,C_australis,1382,s,VAZ.Car,0.3792492619264068,1,NA
Grammica,C_australis,1382,s,Lut.Car,0.36698726082846084,1,NA
Grammica,C_australis,1382,s,Lut.epo.Car,0.011306834899164902,1,NA
Grammica,C_australis,1382,s,a.Car.Car,0,1,NA
Grammica,C_australis,1382,s,b.Car.Car,0.2537634772451323,1,NA
Grammica,C_australis,1382,s,Neo.Car,0,1,NA
Grammica,C_californica,ss17-105,y,Chl.b,6.816397081820727,6,2.75659504839573
Grammica,C_californica,ss17-105,y,Chl.a,19.651648938200502,6,14.433079274404186
Grammica,C_californica,ss17-105,y,Tot.Chl,26.46804602002123,6,12.573254776940397
Grammica,C_californica,ss17-105,y,Chl.a.b,3.605394287149083,6,2.804005132149746
Grammica,C_californica,ss17-105,y,Tot.Car,47.75541072340287,6,26.15356810788907
Grammica,C_californica,ss17-105,y,VAZ.Car,0.4987722893675051,6,0.03798097117215779
Grammica,C_californica,ss17-105,y,Lut.Car,0.13394869185473546,6,0.012493642990886828
Grammica,C_californica,ss17-105,y,Lut.epo.Car,0.0011932025410599256,6,0.0029227373853891116
Grammica,C_californica,ss17-105,y,a.Car.Car,0.007062494079593998,6,0.008495831190747658
Grammica,C_californica,ss17-105,y,b.Car.Car,0.36021652469816534,6,0.02805628368820195
Grammica,C_californica,ss17-105,y,Neo.Car,0,6,0
Grammica,C_californica,ss17-105,o,Chl.b,3.3704243607443787,9,0.9574048255733678
Grammica,C_californica,ss17-105,o,Chl.a,11.448342947069198,9,4.477259898502327
Grammica,C_californica,ss17-105,o,Tot.Chl,14.818767307813577,9,5.417132202146457
Grammica,C_californica,ss17-105,o,Chl.a.b,3.3142203148087357,9,0.3773243117819454
Grammica,C_californica,ss17-105,o,Tot.Car,20.90690073428241,9,5.51354650101148
Grammica,C_californica,ss17-105,o,VAZ.Car,0.27876043758561436,9,0.07291218423453957
Grammica,C_californica,ss17-105,o,Lut.Car,0.10458780495180577,9,0.04291460121963818
Grammica,C_californica,ss17-105,o,Lut.epo.Car,0,9,0
Grammica,C_californica,ss17-105,o,a.Car.Car,0.027388079622435262,9,0.03132295813215401
Grammica,C_californica,ss17-105,o,b.Car.Car,0.5892636778401446,9,0.09024764325087624
Grammica,C_californica,ss17-105,o,Neo.Car,0,9,0
Grammica,C_californica,ss17-105,h,Chl.b,7.719513531531673,7,4.677810909569285
Grammica,C_californica,ss17-105,h,Chl.a,29.745723893295565,7,18.35143417158343
Grammica,C_californica,ss17-105,h,Tot.Chl,37.46523742482724,7,22.996162118150416
Grammica,C_californica,ss17-105,h,Chl.a.b,3.6588453976465662,7,0.7890466260247857
Grammica,C_californica,ss17-105,h,Tot.Car,33.83323559087533,7,12.831160200492777
Grammica,C_californica,ss17-105,h,VAZ.Car,0.3525460487145893,7,0.06522128542462584
Grammica,C_californica,ss17-105,h,Lut.Car,0.1887897026600011,7,0.06219485784779768
Grammica,C_californica,ss17-105,h,Lut.epo.Car,0.001336268290231957,7,0.003535433580815239
Grammica,C_californica,ss17-105,h,a.Car.Car,0.018455749441894674,7,0.010510392288227387
Grammica,C_californica,ss17-105,h,b.Car.Car,0.4402084991835149,7,0.08057878799180605
Grammica,C_californica,ss17-105,h,Neo.Car,0,7,0
Grammica,C_californica,ss17-105,f,Chl.b,11.91182563784278,6,1.9035243992992827
Grammica,C_californica,ss17-105,f,Chl.a,30.767491892690323,6,20.776815836022777
Grammica,C_californica,ss17-105,f,Tot.Chl,42.6793175305331,6,19.50828556988972
Grammica,C_californica,ss17-105,f,Chl.a.b,2.773633729138701,6,1.9102878523129239
Grammica,C_californica,ss17-105,f,Tot.Car,25.14015041094542,6,3.673595911852291
Grammica,C_californica,ss17-105,f,VAZ.Car,0.3776559842072344,6,0.030483069640819035
Grammica,C_californica,ss17-105,f,Lut.Car,0.22680907021968244,6,0.05336603755099831
Grammica,C_californica,ss17-105,f,Lut.epo.Car,0,6,0
Grammica,C_californica,ss17-105,f,a.Car.Car,0.013228783042206177,6,0.02165220416993733
Grammica,C_californica,ss17-105,f,b.Car.Car,0.382306162530877,6,0.06651523554586772
Grammica,C_californica,ss17-105,f,Neo.Car,0,6,0
Grammica,C_cephalanthii,1567,y,Chl.b,13.334461928837975,7,5.01687727907786
Grammica,C_cephalanthii,1567,y,Chl.a,61.786914883886126,7,19.776134394377355
Grammica,C_cephalanthii,1567,y,Tot.Chl,75.1213768127241,7,24.76457998364675
Grammica,C_cephalanthii,1567,y,Chl.a.b,4.766442086945106,7,0.5058500988916484
Grammica,C_cephalanthii,1567,y,Tot.Car,60.948209026623076,7,16.103545147679856
Grammica,C_cephalanthii,1567,y,VAZ.Car,0.5013815100795835,7,0.03931297099518218
Grammica,C_cephalanthii,1567,y,Lut.Car,0.3620335903661652,7,0.039248277547742606
Grammica,C_cephalanthii,1567,y,Lut.epo.Car,0.001318556007892829,7,0.003488571286594545
Grammica,C_cephalanthii,1567,y,a.Car.Car,0.003390024543769254,7,0.008789283902456339
Grammica,C_cephalanthii,1567,y,b.Car.Car,0.13002700206320106,7,0.008871095150465599
Grammica,C_cephalanthii,1567,y,Neo.Car,0.003167872947280932,7,0.005424471367346866
Grammica,C_cephalanthii,1567,o,Chl.b,2.7839630630691983,14,1.030952670814129
Grammica,C_cephalanthii,1567,o,Chl.a,7.41470654210949,14,3.0646307707463527
Grammica,C_cephalanthii,1567,o,Tot.Chl,10.19866960517869,14,4.08147223538992
Grammica,C_cephalanthii,1567,o,Chl.a.b,2.6440876325107006,14,0.2434915327552545
Grammica,C_cephalanthii,1567,o,Tot.Car,21.292820146458993,14,4.463920273988159
Grammica,C_cephalanthii,1567,o,VAZ.Car,0.2161446548393548,14,0.04408261690058084
Grammica,C_cephalanthii,1567,o,Lut.Car,0.06429672375056968,14,0.02249996040967137
Grammica,C_cephalanthii,1567,o,Lut.epo.Car,0,14,0
Grammica,C_cephalanthii,1567,o,a.Car.Car,0.03799647367190293,14,0.02721172982802808
Grammica,C_cephalanthii,1567,o,b.Car.Car,0.6815621477381726,14,0.06263570272825636
Grammica,C_cephalanthii,1567,o,Neo.Car,0,14,0
Grammica,C_cephalanthii,1567,h,Chl.b,14.244185654564683,4,7.866455744382105
Grammica,C_cephalanthii,1567,h,Chl.a,41.250280323666985,4,22.891868035721334
Grammica,C_cephalanthii,1567,h,Tot.Chl,55.49446597823167,4,30.755764742420727
Grammica,C_cephalanthii,1567,h,Chl.a.b,2.86958732120722,4,0.09643505789980829
Grammica,C_cephalanthii,1567,h,Tot.Car,26.47041617094717,4,10.342774129781624
Grammica,C_cephalanthii,1567,h,VAZ.Car,0.32971404242828256,4,0.05670638557079747
Grammica,C_cephalanthii,1567,h,Lut.Car,0.29903658658910115,4,0.06676061269828416
Grammica,C_cephalanthii,1567,h,Lut.epo.Car,0.012475797211263219,4,0.010178271014029674
Grammica,C_cephalanthii,1567,h,a.Car.Car,0.023897010881322747,4,0.03619066024890783
Grammica,C_cephalanthii,1567,h,b.Car.Car,0.337514890093799,4,0.08076636924136564
Grammica,C_cephalanthii,1567,h,Neo.Car,0.009837470007494655,4,0.011776369386184437
Grammica,C_cephalanthii,1567,f,Chl.b,25.50977185190287,2,1.2575329146593526
Grammica,C_cephalanthii,1567,f,Chl.a,77.42052754795773,2,4.116685500702412
Grammica,C_cephalanthii,1567,f,Tot.Chl,102.9302993998606,2,5.374218415361755
Grammica,C_cephalanthii,1567,f,Chl.a.b,3.0346457348168614,2,0.01178052891198935
Grammica,C_cephalanthii,1567,f,Tot.Car,35.818483947933295,2,2.0329929856034648
Grammica,C_cephalanthii,1567,f,VAZ.Car,0.3776821010656057,2,0.006285436653177194
Grammica,C_cephalanthii,1567,f,Lut.Car,0.41661860851131105,2,0.004944200124303447
Grammica,C_cephalanthii,1567,f,Lut.epo.Car,0.0325402240564624,2,0.001849137661452183
Grammica,C_cephalanthii,1567,f,a.Car.Car,0,2,0
