Subgenus,Tissue.edit,Metric,mean,n,sd
Ipomoea_nil,s,NPQ,0.31999240353846153,13,0.08704377016533457
Ipomoea_nil,s,X1.qP,0.7445717888461538,13,0.04493939685129168
Monogynella,sdlg,Fo,0.0821125,8,0.025296777745114383
Monogynella,sdlg,Fm,0.40676,5,0.0634637140419626
Monogynella,sdlg,Ft,0.09505,8,0.030067780572756424
Monogynella,sdlg,Fo.,0.062342636124999996,8,0.01799578177435553
Monogynella,sdlg,Fv.Fm,0.780164713875,8,0.02656597502924714
Monogynella,sdlg,φPSII,0.408987372,7,0.047011396922827776
Monogynella,sdlg,ΦNPQ,0.32927009942857144,7,0.05310906727994265
Monogynella,sdlg,Φf.D,0.255077872,8,0.04723141351346646
Monogynella,sdlg,NPQ,1.338867634,4,0.1725680727299905
Monogynella,sdlg,X1.qP,0.3486930545,8,0.09225940736116399
Monogynella,y,Fo,0.06323571428571428,14,0.013834105411173955
Monogynella,y,Fm,0.28581428571428574,14,0.07650949520904485
Monogynella,y,Ft,0.08147142857142857,14,0.020885122734816564
Monogynella,y,Fo.,0.055935940571428575,14,0.01205569651412152
Monogynella,y,Fv.Fm,0.7732936139285714,14,0.03370230812641885
Monogynella,y,ΦNPQ,0.5665373002307692,13,0.030330974297978267
Monogynella,y,ΦNPQ,0.16457483671428572,14,0.0448865688439519
Monogynella,y,Φf.D,0.2887885490714286,14,0.04722420380649725
Monogynella,y,NPQ,0.5734179022857143,14,0.13440726322446914
Monogynella,y,X1.qP,0.18187096953846155,13,0.028213989126157874
Monogynella,o,Fo,0.037783333333333335,12,0.015286882869924393
Monogynella,o,Fm,0.16963333333333333,12,0.08236785928032998
Monogynella,o,Ft,0.05065833333333333,12,0.023193708329213032
Monogynella,o,Fo.,0.032896561916666664,12,0.013493545624269656
Monogynella,o,Fv.Fm,0.76224925425,12,0.04238188667801018
Monogynella,o,φPSII,0.49757118441666665,12,0.03911944573055361
Monogynella,o,ΦNPQ,0.19611508341666667,12,0.029973223421867704
Monogynella,o,Φf.D,0.3063137321666667,12,0.045159645792631
Monogynella,o,NPQ,0.6631273881666667,12,0.19397382261550558
Monogynella,o,X1.qP,0.24435502125,12,0.06409016431720407
Monogynella,h,Fo,0.06297272727272728,11,0.01152849434306934
Monogynella,h,Fm,0.15478333333333333,12,0.04561927091468997
Monogynella,h,Ft,0.06548333333333334,12,0.011536332593028414
Monogynella,h,Fo.,0.04714009975,12,0.011316071900325235
Monogynella,h,Fv.Fm,0.5676441063333333,9,0.0809533275278927
Monogynella,h,φPSII,0.14013664491666666,12,0.05016963644627636
Monogynella,h,ΦNPQ,0.4402262705555556,9,0.062061596724149494
Monogynella,h,Φf.D,0.41164122610000003,10,0.07201074209810457
Monogynella,h,NPQ,1.083575118818182,11,0.37650006705029976
Monogynella,h,X1.qP,0.6415528798333333,12,0.08531171435352577
Monogynella,f,Fo,0.11644444444444445,9,0.03994562276117094
Monogynella,f,Fm,0.3250416666666667,12,0.10206048526004152
Monogynella,f,Ft,0.1283,8,0.04652544618654551
Monogynella,f,Fo.,0.09140660244444444,9,0.03110377849287864
Monogynella,f,Fv.Fm,0.6285476556153846,13,0.04880152633721403
Monogynella,f,φPSII,0.208080192,12,0.09372742732757475
Monogynella,f,ΦNPQ,0.3254003822307692,13,0.03658727841970835
Monogynella,f,Φf.D,0.4511402086923077,13,0.08347460556514052
Monogynella,f,NPQ,0.7398121696153847,13,0.1335055303595508
Monogynella,f,X1.qP,0.6431667196,10,0.11196385659955332
Monogynella,s,Fo,0.059125,8,0.019193432656584835
Monogynella,s,Fm,0.1644,8,0.057437195514504616
Monogynella,s,Ft,0.0874875,8,0.03141766734543752
Monogynella,s,Fo.,0.048510679125,8,0.01426491979875475
Monogynella,s,Fv.Fm,0.633809634,8,0.045804559915640884
Monogynella,s,φPSII,0.13873426728571428,7,0.08660474901958493
Monogynella,s,ΦNPQ,0.32792090314285716,7,0.046820824237652395
Monogynella,s,Φf.D,0.5361000223333333,6,0.0364405621731522
Monogynella,s,NPQ,0.580388472375,8,0.20790355792359652
Monogynella,s,X1.qP,0.6498996242,5,0.15526237157616815
