Subgenus,Species,Accession.,Individual,AOI....Sample.per.Replicate.,Tissue,Measurement.Date,Time,Comments,exclude,Tissue.edit,ID,Metric,Value,Subgenus.Metric,Tissue.edit_names,Subgenus.Tissue
Grammica,C_cephalanthii,1567,B,7,old,2017-12-13,12:12:56 PM,,,o,146,Fv.Fm,0.263473054,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,A,4,old,2017-12-21,10:20:01 AM,,,o,147,Fv.Fm,0.312101911,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_sandwichiana,155,C,2,seed,2018-01-15,9:59:00 AM,,,s,149,Fv.Fm,0.645767027,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_polygonorum,1705,A,2,old,2018-01-25,9:58:34 AM,,,o,150,Fv.Fm,0.367346939,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_gracillima,CUGR,B,1,haustorium,2018-07-06,10:49:28 AM,,,h,151,Fv.Fm,0.5488,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_sandwichiana,155,A,7,old,2018-01-15,11:31:08 AM,,,o,153,Fv.Fm,0.23943662,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_polygonorum,1705,C,6,flower,2017-12-13,1:00:53 PM,,,f,154,Fv.Fm,0.571169538,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_cephalanthii,1567,F,8,seed (old),2018-05-29,12:23:38 PM,,,s,156,Fv.Fm,0.637846102,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_indecora,ss16-17,D,9,haustorium,2018-03-23,3:04:55 PM,,,h,157,Fv.Fm,0.5,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_compacta,1566,-,2,seedling,2017-11-09,5:44:53 PM,,,sdlg,158,Fv.Fm,0.488160291,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_compacta,1566,-,1,seedling,2017-11-09,5:36:41 PM,,,sdlg,159,Fv.Fm,0.486638537,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_tasmanica,17-15,C,3,young,2018-05-29,1:12:22 PM,,,y,160,Fv.Fm,0.383136095,Grammica__Fv.Fm,Young,Grammica__Young
Grammica,C_polygonorum,1705,A,3,old,2018-01-25,9:58:34 AM,,,o,162,Fv.Fm,0.482352941,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_californica,ss17-105,D,8,flower,2018-07-06,2:13:32 PM,,,f,163,Fv.Fm,0.533586819,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,A,6,old,2018-01-15,11:31:08 AM,,,o,164,Fv.Fm,0.267716535,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_sandwichiana,155,D,4,old,2018-01-25,1:13:25 PM,,,o,165,Fv.Fm,0.353191489,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_indecora,ss16-17,B,3,seed,2018-01-25,12:25:31 PM,,,s,166,Fv.Fm,0.605753514,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_cephalanthii,1567,B,7,seed,2017-12-21,10:08:02 AM,,,s,167,Fv.Fm,0.632345915,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_indecora,ss16-17,E,2,seed,2018-03-23,3:52:37 PM,,,s,168,Fv.Fm,0.470515971,Grammica__Fv.Fm,Seed,Grammica__Seed
