Subgenus,Species,Accession.,Tissue.edit,Metric,mean,n,sd
Grammica,C_californica,ss17-105,y,Fo,0.020495652173913043,23,0.014109071171698838
Grammica,C_californica,ss17-105,y,Fm,0.06809130434782609,23,0.06581525737066443
Grammica,C_californica,ss17-105,y,Ft,0.024256521739130434,23,0.01786580853542615
Grammica,C_californica,ss17-105,y,Fo.,0.017920678260869564,23,0.011907532413694627
Grammica,C_californica,ss17-105,y,Fv.Fm,0.6201917300454546,22,0.11954641334870464
Grammica,C_californica,ss17-105,y,φPSII,0.4092202505652174,23,0.11479727107847064
Grammica,C_californica,ss17-105,y,ΦNPQ,0.14919292926086958,23,0.07097737564839582
Grammica,C_californica,ss17-105,y,Φf.D,0.4415868202173913,23,0.11888161526700272
Grammica,C_californica,ss17-105,y,NPQ,0.3873015714347826,23,0.28461442273152116
Grammica,C_californica,ss17-105,y,X1.qP,0.23063939147826087,23,0.09174200087668224
Grammica,C_californica,ss17-105,o,Fo,0.0269,19,0.021500594307031506
Grammica,C_californica,ss17-105,o,Fm,0.10640526315789474,19,0.10226339343786173
Grammica,C_californica,ss17-105,o,Ft,0.033299999999999996,19,0.029079240399677263
Grammica,C_californica,ss17-105,o,Fo.,0.02040524752631579,19,0.014835863255297057
Grammica,C_californica,ss17-105,o,Fv.Fm,0.6775593820526316,19,0.09163268008053446
Grammica,C_californica,ss17-105,o,φPSII,0.2928727628235294,17,0.10212069806162889
Grammica,C_californica,ss17-105,o,ΦNPQ,0.25459189547058825,17,0.10104230615473789
Grammica,C_californica,ss17-105,o,Φf.D,0.42239226870588237,17,0.10480111790207886
Grammica,C_californica,ss17-105,o,NPQ,0.6746448209411765,17,0.46539920707120774
Grammica,C_californica,ss17-105,o,X1.qP,0.4301173523684211,19,0.1894577638030941
Grammica,C_californica,ss17-105,h,Fo,0.05131818181818182,22,0.01989648536476053
Grammica,C_californica,ss17-105,h,Fm,0.18199545454545454,22,0.09107988893730146
Grammica,C_californica,ss17-105,h,Ft,0.06710909090909091,22,0.03023362853466805
Grammica,C_californica,ss17-105,h,Fo.,0.04272513781818182,22,0.016092444560437985
Grammica,C_californica,ss17-105,h,Fv.Fm,0.701305758909091,22,0.05154270045889028
Grammica,C_californica,ss17-105,h,φPSII,0.3385121782631579,19,0.07165103672288077
Grammica,C_californica,ss17-105,h,ΦNPQ,0.25058787354545453,22,0.06243404272719215
Grammica,C_californica,ss17-105,h,Φf.D,0.3836524135,22,0.07496225051206948
Grammica,C_californica,ss17-105,h,NPQ,0.6753335175454546,22,0.20264131796620902
Grammica,C_californica,ss17-105,h,X1.qP,0.3817524765,22,0.13275396924664665
Grammica,C_californica,ss17-105,f,Fo,0.06663095238095237,42,0.020170414074800167
Grammica,C_californica,ss17-105,f,Fm,0.21570238095238095,42,0.08192634552910177
Grammica,C_californica,ss17-105,f,Ft,0.0765390243902439,41,0.028716091987322896
Grammica,C_californica,ss17-105,f,Fo.,0.053615143119047616,42,0.016591446111329636
Grammica,C_californica,ss17-105,f,Fv.Fm,0.6762554320714286,42,0.060170306336639966
Grammica,C_californica,ss17-105,f,φPSII,0.3376423552380952,42,0.1068634279099138
Grammica,C_californica,ss17-105,f,ΦNPQ,0.2747575699285714,42,0.07289821378517237
Grammica,C_californica,ss17-105,f,Φf.D,0.3740832735121951,41,0.0999504082514837
Grammica,C_californica,ss17-105,f,NPQ,0.7924152288333334,42,0.3090067042361173
Grammica,C_californica,ss17-105,f,X1.qP,0.385280474275,40,0.18081314229494516
Grammica,C_cephalanthii,1567,sdlg,Fo,0.014616666666666667,6,0.004786822188745542
Grammica,C_cephalanthii,1567,sdlg,Fm,0.0518,6,0.017025157855362162
Grammica,C_cephalanthii,1567,sdlg,Ft,0.021166666666666667,6,0.00653656382716995
Grammica,C_cephalanthii,1567,sdlg,Fo.,0.012268261666666667,6,0.00426064342094523
Grammica,C_cephalanthii,1567,sdlg,Fv.Fm,0.7184136178333334,6,0.031767548061961234
Grammica,C_cephalanthii,1567,sdlg,φPSII,0.28368539816666666,6,0.11712338934493571
