Subgenus,Species,Accession.,Individual,Tissue.edit,Metric,mean,n,sd
C_purpurata,C_purpurata,1432,B,y,Fv.Fm,0,3,0
C_purpurata,C_purpurata,1432,B,y,φPSII,0,3,0
C_purpurata,C_purpurata,1432,B,y,ΦNPQ,0,3,0
C_purpurata,C_purpurata,1432,B,y,Φf.D,1,3,0
C_purpurata,C_purpurata,1432,B,y,NPQ,0,3,0
C_purpurata,C_purpurata,1432,B,h,Fo,0.00395,4,0.0025955089417427687
C_purpurata,C_purpurata,1432,B,h,Fm,0.003325,4,0.0020039544239661075
C_purpurata,C_purpurata,1432,B,h,Ft,0.003575,4,0.0022691775308835284
C_purpurata,C_purpurata,1432,B,h,Fo.,0.0032326125,4,0.002042982741533483
C_purpurata,C_purpurata,1432,B,h,Fv.Fm,0,4,0
C_purpurata,C_purpurata,1432,B,h,φPSII,0,4,0
C_purpurata,C_purpurata,1432,B,h,ΦNPQ,0,4,0
C_purpurata,C_purpurata,1432,B,h,Φf.D,1,4,0
C_purpurata,C_purpurata,1432,B,h,NPQ,0,4,0
C_purpurata,C_purpurata,1432,B,f,Fo,0.0139,3,0.0017088007490635056
C_purpurata,C_purpurata,1432,B,f,Fm,0.012433333333333333,3,0.002025668613898466
C_purpurata,C_purpurata,1432,B,f,Ft,0.01395,2,0.0017677669529663693
C_purpurata,C_purpurata,1432,B,f,Fo.,0.0137975795,2,0.0010846911957384461
C_purpurata,C_purpurata,1432,B,f,Fv.Fm,0,5,0
C_purpurata,C_purpurata,1432,B,f,φPSII,0,5,0
C_purpurata,C_purpurata,1432,B,f,ΦNPQ,0,5,0
C_purpurata,C_purpurata,1432,B,f,Φf.D,1,5,0
C_purpurata,C_purpurata,1432,B,f,NPQ,0,5,0
C_purpurata,C_purpurata,1432,C,y,Fo,0.013242857142857143,7,0.0020783464123008484
C_purpurata,C_purpurata,1432,C,y,Fm,0.011414285714285714,7,0.0019505798893564717
C_purpurata,C_purpurata,1432,C,y,Ft,0.011071428571428572,7,0.0023278847950548628
C_purpurata,C_purpurata,1432,C,y,Fo.,0.010509621142857143,7,0.002429214801765338
C_purpurata,C_purpurata,1432,C,y,Fv.Fm,0,7,0
C_purpurata,C_purpurata,1432,C,y,φPSII,0,7,0
C_purpurata,C_purpurata,1432,C,y,ΦNPQ,0,7,0
C_purpurata,C_purpurata,1432,C,y,Φf.D,1,7,0
C_purpurata,C_purpurata,1432,C,y,NPQ,0,7,0
C_purpurata,C_purpurata,1432,C,o,Fo,0.010525,4,0.0022066188313042802
C_purpurata,C_purpurata,1432,C,o,Fm,0.0087,4,0.002289104628451919
C_purpurata,C_purpurata,1432,C,o,Ft,0.010025,4,0.00220661883130428
C_purpurata,C_purpurata,1432,C,o,Fo.,0.0095436475,4,0.0019255767661570044
C_purpurata,C_purpurata,1432,C,o,Fv.Fm,0,4,0
C_purpurata,C_purpurata,1432,C,o,φPSII,0,4,0
C_purpurata,C_purpurata,1432,C,o,ΦNPQ,0,4,0
C_purpurata,C_purpurata,1432,C,o,Φf.D,1,4,0
C_purpurata,C_purpurata,1432,C,o,NPQ,0,4,0
C_purpurata,C_purpurata,1432,C,h,Fo,0.013,4,0.0024805913273518738
C_purpurata,C_purpurata,1432,C,h,Fm,0.010525,4,0.0021375609153113425
C_purpurata,C_purpurata,1432,C,h,Ft,0.012025000000000001,4,0.002352835169180649
C_purpurata,C_purpurata,1432,C,h,Fo.,0.01248173075,4,0.0028235115661791755
C_purpurata,C_purpurata,1432,C,h,Fv.Fm,0,4,0
C_purpurata,C_purpurata,1432,C,h,φPSII,0,4,0
C_purpurata,C_purpurata,1432,C,h,ΦNPQ,0,4,0
C_purpurata,C_purpurata,1432,C,h,Φf.D,1,4,0
C_purpurata,C_purpurata,1432,C,h,NPQ,0,4,0
C_purpurata,C_purpurata,1432,C,f,Fo,0.0451,6,0.007463243262818116
C_purpurata,C_purpurata,1432,C,f,Fm,0.043633333333333336,6,0.007442221890448221
C_purpurata,C_purpurata,1432,C,f,Ft,0.042,6,0.0066609308658775335
C_purpurata,C_purpurata,1432,C,f,Fo.,0.041378548833333334,6,0.006499692662593376
C_purpurata,C_purpurata,1432,C,f,Fv.Fm,0,7,0
C_purpurata,C_purpurata,1432,C,f,φPSII,0,7,0
C_purpurata,C_purpurata,1432,C,f,ΦNPQ,0,7,0
C_purpurata,C_purpurata,1432,C,f,Φf.D,1,7,0
C_purpurata,C_purpurata,1432,C,f,NPQ,0,7,0
Cuscuta,C_epithymum,CUEP,1,sdlg,Fo,0.0603,1,NA
Cuscuta,C_epithymum,CUEP,1,sdlg,Fm,0.1338,1,NA
Cuscuta,C_epithymum,CUEP,1,sdlg,Ft,0.0667,1,NA
Cuscuta,C_epithymum,CUEP,1,sdlg,Fo.,0.051775946,1,NA
Cuscuta,C_epithymum,CUEP,1,sdlg,Fv.Fm,0.54252082,2,0.009625892695553558
Cuscuta,C_epithymum,CUEP,1,sdlg,φPSII,0.315860692,2,0.0049880203299443315
Cuscuta,C_epithymum,CUEP,1,sdlg,ΦNPQ,0.22520054500000003,2,0.060943457404958976
Cuscuta,C_epithymum,CUEP,1,sdlg,Φf.D,0.458938763,2,0.05595543707501466
Cuscuta,C_epithymum,CUEP,1,sdlg,NPQ,0.5025288375,2,0.1940622253257647
Cuscuta,C_epithymum,CUEP,1,sdlg,X1.qP,0.283333399,2,0.055903825351055834
Cuscuta,C_epithymum,CUEP,2,sdlg,Fm,0.09949999999999999,3,0.051360782704316335
Cuscuta,C_epithymum,CUEP,2,sdlg,Ft,0.0627,1,NA
Cuscuta,C_epithymum,CUEP,2,sdlg,Fv.Fm,0.48848103466666665,3,0.07572733917769137
Cuscuta,C_epithymum,CUEP,2,sdlg,φPSII,0.32648993233333334,3,0.06663232582676372
